200204010001,2002,4,1,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","04/01/2002: Five Molotov cockatil firebombs were launched at a Belgian synagogue located in the Anderlecht suburb of Brussels. Two firebombs hit the building, breaking through windows, and caused a fire. Local fire patrols contained the fire withing 45 minutes, and no one was injured. The attack was blamed on rising tensions over the Israeli-Palestinian battles. There were no suspects.",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",15,Religious Figures/Institutions,86,Place of Worship,Unknown,A Belgian synagogue in Anderlict.,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","","",0,0,0,0,0,0,1,4,Unknown,"","",0,"","","","","","","","","","","","","","","","","\"\"\"Belgian Government Condems Arson Attack Against Synagogue","\"\" Groot Bijgaarden de Standaard website","04/02/2002.\"","\"\"\"Belgium: Synagogue Targeted in Arson Attack in Brussles","\"\" Groot Bijgaarden de Standaard website","04/01/2002.\"","\"Jacques Remertz, \"\"Belgian Synagogue Petrol Bombed; vox pop",official reaction,"\"\" Brussels RTBF La Premier Radio"
197008010002,1970,8,1,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",Yugoslav Embassy,235,Yugoslavia,"","","","","","","","","","","","","","","","",Croatian Nationalists,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
200205030001,2002,5,3,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","05/03/2002: Unknown perpetrators hurled a Molotov cocktail at a Jewish synagogue in Brussels, Belgium. The bomb struck a tree which deflected the projectile away from the synagogue. A gate was damaged in the attack, but there were no casualties. No group claimed responsibility for the attack.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,"","","","",15,Religious Figures/Institutions,86,Place of Worship,Jewish Religion,A Jewish synagogue in Brussels,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","",A Molotov Cocktail was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"",A gate was damaged.,0,"","","","","","","","","","","","","","","","","�Belgium: Nobody Injured, No Damage Caused in Arson Attack on Brussels Synagogue,� Groot Bijgaarden De Standaard, May 6, 2002","","",CETIS,-9,-9,0,-9,""
197209110001,1972,9,11,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,0,"","",0,0,0,1,Assassination,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Israili govt,Diplomat Ophir Zadok,97,Israel,"","","","","","","","","","","","","","","","",Palestinians,"","","","","","",0,"","",0,2,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",1,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,0,1,1,""
200211040002,2002,11,4,"",0,"",21,8,Western Europe,Wallonia,Charleroi,50.412431,4.443722,1,0,"","11/04/2002: A parcel bomb was discovered prior to exploding in the Charleroi Hall of Justice, Belgium. No group claimed responsibility, but telephone calls suggested that Muslims might be linked to the incident.",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",2,Government (General),14,Judge/Attorney/Court,Belgian Local Government,Charleroi Hall of Justice,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","","A parcel bomb, which failed to explode, was used in the incident.",0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"Jean-Philippe Preumont, \"\"Belgium: Explosives Parcel Found in Charleroi Hall of Justice",� Brussels Le Soir,November 5,"2002.\"","","",CETIS,-9,-9
197209200020,1972,9,20,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","09/20/1972: A letter bomb addressed to an Israeli Embassy official was discovered and defused in Brussels, Belgium. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,"","",1,0,0,1,Assassination,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Embassy Official,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,-99,-99,1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",An explosives-laden letter was used.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","",http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"\"\"\"26 more bombs sent to Israelis here",abroad,"\"\" The Jerusalem Post",September 21,"1972.\"","\"\"\"Mail bombs turn up in 7 more cities: Letters to U.N. Israelis seized by N.Y. police","\"\" Los Angeles Times",September 21
200306040003,2003,6,4,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","06/04/2003:  Twenty people became ill at the U.S. Embassy in Brussels, Belgium after handling letters that contained phenarsazine chloride and hydrazine.",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,United States State Department,"Employees at the U.S. Embassy in Brussels, Belgium.",217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","",The attack occurred during the trail of suspected Al Qaida terrorists.,0,"","",0,"",0,0,"","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","","phenarsazine chloride, hydrazine",0,0,0,20,"",0,0,"","","","",-9,"","","","","","","","","","","","","","","","","\"Castonguay, Gilles, \"\"Belgium Finds Nerve Gas Ingredient in Letters","\"\" Reuters",June 4,"2003.\"","\"\"\"Belgians Detain Iraqi Suspected of Mailing Nerve Gas Chemical","\"\" New York Times",June 6,"2003.\"","\"\"\"Belgium Frees Suspect in Toxic Letters Case"
197209210005,1972,9,21,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","09/21/1972: A letter bomb addressed to an Israeli Embassy official was discovered and defused in Brussels, Belgium. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,"","",1,0,0,1,Assassination,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Embassy Official,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,-99,-99,1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",An explosives-laden letter was used.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"5 more leter bombs in Brussels",Kinshasa,"\"\" The Jerusalem Post",September 22,"1972.\"","","",UMD Miscellaneous,1
200306040004,2003,6,4,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","06/04/2003:  Unknown assailants sent envelopes filled with diphenylamine chloroarsine to the British embassy in Brussels, Belgium.  No injuries were reported in the incident.",1,1,1,0,"","",1,0,0,8,Unarmed Assault,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,British Foreign Ministry,"British embassy in Brussels, Belgium.",216,Great Britain,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The letters were sent during the trial of 23 suspected Al-Qaida members in Brussels, Belgium.",0,"","",0,"",0,0,"","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","",Diphenylamine chloroarsine,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","Castonguay, Gilles, �Belgium Finds Nerve Gas Ingredient in Letters,� Reuters, June 4, 2003.","�Belgians Detain Iraqi Suspected of Mailing Nerve Gas Chemical,� New York Times, June 6, 2003.","�Belgium Frees Suspect in Toxic Letters Case,� Xinhua General News Service, July 22, 2003.",CETIS,-9,-9,1,1,"200306040004, 200306040003, 200306040005, 200306040006, 200306040007, 200306040008, 200306040009, 200306040010"
197209210006,1972,9,21,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","09/21/1972: A letter bomb addressed to an Israeli Embassy official was discovered and defused in Brussels, Belgium. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,"","",1,0,0,1,Assassination,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Embassy Official,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,-99,-99,1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",An explosives-laden letter was used.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"5 more leter bombs in Brussels",Kinshasa,"\"\" The Jerusalem Post",September 22,"1972.\"","","",UMD Miscellaneous,1
200306040005,2003,6,4,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","06/04/2003:  Unknown assailants sent envelopes filled with diphenylamine chloroarsine to the Saudi Arabian embassy in Brussels, Belgium.  No injuries were reported in the incident.",1,1,1,0,"","",1,0,0,8,Unarmed Assault,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Saudi Foreign Ministry,"Saudi embassy in Brussels, Belgium.",173,Saudi Arabia,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The letters were sent during the trial of 23 suspected Al-Qaida members in Brussels, Belgium.",0,"","",0,"",0,0,"","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","",Diphenylamine chloroarsine,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","Castonguay, Gilles, �Belgium Finds Nerve Gas Ingredient in Letters,� Reuters, June 4, 2003.","�Belgians Detain Iraqi Suspected of Mailing Nerve Gas Chemical,� New York Times, June 6, 2003.","�Belgium Frees Suspect in Toxic Letters Case,� Xinhua General News Service, July 22, 2003.",CETIS,-9,-9,1,1,"200306040005, 200306040003, 200306040004, 200306040006, 200306040007, 200306040008, 200306040009, 200306040010"
197303230001,1973,3,23,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)","","residence, Greek Ambassador",78,Greece,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
200306040006,2003,6,4,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","06/04/2003:  Unknown assailants sent envelopes filled with diphenylamine chloroarsine to the Belgian Prime Minister's office in Brussels, Belgium.  No injuries were reported in the incident.",1,1,1,0,"","",1,0,0,8,Unarmed Assault,"","","","",2,Government (General),18,"Government Personnel (excluding police, military)",Belgian Prime Minister's office,"Belgian Prime Minister's office in Brussels, Belgium.",21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The letters were sent during the trial of 23 suspected Al-Qaida members in Brussels, Belgium.",0,"","",0,"",0,0,"","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","",Diphenylamine chloroarsine,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","Castonguay, Gilles, �Belgium Finds Nerve Gas Ingredient in Letters,� Reuters, June 4, 2003.","�Belgians Detain Iraqi Suspected of Mailing Nerve Gas Chemical,� New York Times, June 6, 2003.","�Belgium Frees Suspect in Toxic Letters Case,� Xinhua General News Service, July 22, 2003.",CETIS,-9,-9,0,-9,"200306040006, 200306040003, 200306040004, 200306040005, 200306040007, 200306040008, 200306040009, 200306040010"
197405040001,1974,5,4,"",0,"",21,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,3,Bank/Commerce,"",Spanish Bank,185,Spain,"","","","","","","","","","","","","","","","",International Revolutionary Action Group (GARI),"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,3,Minor (likely < $1 million),15000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
