200110030002,2001,10,3,"",1,10/5/2001,30,3,South America,Mato Grosso,Rondonopolis district,-16.465735,-54.638748,3,0,A highway near Rondonopolis,"10/03/2001: Thirteen journalists were taken hostage by Terena Indians who had barricaded a highway outside Rondonopolis, Brazil in protest of a land deal that the Brazilian government made to the Indians but did not fulfill.  Four of the hostages were released shortly after their capture, another two journalists escaped a day after their capture, and the remaining seven journalists were released two days after their capture, once the government had agreed to give the Indians they lands they had been promised.  No one was injured.",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Journalists covering the Indian standoff with the Brazilian government,Thirteen journalists covering the standoff,30,Brazil,"","","","","","","","","","","","","","","","",Terena Indians,"","","","","",The Terena Indians took the journalists hostages in order to negotiate with the Brazilian government to receive the land the government had promised to give them but never did.,0,"","",0,-99,0,1,9,Other,"","","","","","","",13,Unknown,"","","","","","","","","","","","","","",No weapon detail was provided.,0,0,0,0,0,0,0,"","","","",1,13,0,"",3,"","",0,0,0,0,0,0,6,Combination,13,"","\"Alex Bellos, \"\"Brazilians hold journalists hostage in land dispute","\"\" The Guardian (London)",October 4,"2001.\"","\"\"\"Indians demanding land release reporters","\"\" Associated Press",October 5,"2001.\"","\"\"\"Indians release hostage on government promise of land in 30 days"
197003110001,1970,3,11,"",1,3/15/1970,30,3,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,1,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Japanese govt,"Nobico Okushi, Japanese consul general, Sao PAulo",101,Japan,"","","","","","","","","","","","","","","","",Popular Revolutionary Vanguard (VPR),"","","","","","",0,"","",0,6,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",0,"","","","",1,1,0,0,4,"",Brazil,1,0,"","","","",2,Hostage(s) released by perpetrators,1,"","","","",PGIS,0,1,1,1,""
200110180005,2001,10,18,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","10/18/2001: A bomb exploded in front of a McDonald�s in Rio de Janeiro, Rio de Janeiro state, Brazil. No one was injured. The front of the restaurant received minor damage. No one has claimed responsibility for the blast.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,4,Multinational Corporation,McDonald's,"Restaurant in Rio de Janeiro, Brazil",217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),"",The windows of the restaurant were broken.,0,"","","","","","","","","","","","","","","","","�Bomb Explodes at McDonalds in Brazil,� Xinhua News Agency, October 19, 2001.","","",CETIS,-9,-9,1,1,""
197004050001,1970,4,5,"",0,"",30,3,South America,Rio Grande do Sul,Porto Alegre,-30.034108,-51.217839,1,0,"","",1,1,1,0,"","",0,0,0,6,Hostage Taking (Kidnapping),"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",state dept,"Curtis C. Cutter, U.S. consul, Porto Alegre",217,United States,"","","","","","","","","","","","","","","","",Popular Revolutionary Vanguard (VPR),"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",1,"","",0,"","","","",1,1,1,"","","",Brazil,0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
200206240007,2002,6,24,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"",06/24/2002: Armed assailants attacked city hall in Rio de Janeiro causing damage to the outside of the building. Two grenades left behind had to be detonated by the Rio bomb squad.,1,1,1,0,"","",0,1,0,2,Armed Assault,7,Facility/Infrastructure Attack,"","",2,Government (General),21,Government Building/Facility/Office,Brazilian Government,City Hall in Rio de Janeiro,30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,-9,"","","","","","","","",-9,5,Firearms,5,Unknown Gun Type,6,Explosives,7,Grenade,"","","","","","","","","",0,0,0,0,0,0,-9,4,Unknown,"",Windows were broken causing minor material damage,0,"","","","","","","","","","","","","","","","","�Rio de Janeiro city hall attacked by armed assailants,� Agence France Presse, June 25, 2002.","�Bom Dia Brasil,� Rede Globo Television, June 25, 2002.","",CETIS,-9,-9,0,-9,""
197006110001,1970,6,11,"",1,6/16/1970,30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",FRG government,"Ehrenfried Von Holloben, FRG Ambassador to Brazil",75,Germany,"","","","","","","","","","","","","","","","",Popular Revolutionary Vanguard (VPR),"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",1,"","",0,"","",0,"","","","",1,1,0,0,5,"",Brazil,1,0,"","","","",2,Hostage(s) released by perpetrators,1,"","","","",PGIS,0,1,1,1,""
200304140002,2003,4,14,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","04/14/2003: Unknown militants open fired on the Hotel Gloria, a favorite among politicians visiting the city, in Rio de Janeiro, Brazil. No casualties were reported in the attack.",1,1,1,0,"","",0,0,0,2,Armed Assault,"","","","",1,Business,8,Hotel/Resort,Civilians,"Indiscriminate civilians staying at the Hotel Gloria in Rio de Janeiro, Brazil",30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Unspecified rifles were used in this incident was not reported.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","�'Unknown' Gunmen Open Fire on Hotel in Rio de Janeiro,� Madrid EFE, April 14, 2003.","","",CETIS,-9,-9,0,-9,""
197007010003,1970,7,1,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,-9,"","",0,0,0,4,Hijacking,"","","","",6,Airports & Aircraft,42,Aircraft (not at an airport),Cruzeiro do Sul,Caravelle,30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,4,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,0,0,0,0,0,0,"","","","",0,"","","","","",Brazil,0,"","","","","",5,Successful Rescue,"","","","","",Hijacking DB,-9,-9,0,-9,""
200607070011,2006,7,7,"",0,"",30,3,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,1,0,"","07/07/2006: A bomb exploded on a Sao Paulo, Brazil public transportation train, wounding eleven people. The perpetrator group is unknown. No group claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",19,Transportation,102,Subway,Sao Paulo Metropolitan Railway Company,Sao Paulo subway train at the Bras station,30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"","",-9,"","","","","","","","",-9,6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,11,"","",1,4,Unknown,"","",0,"","","","","","","","","","","","","","","","","�11 Injured in Train Bomb Explosion in Brazil,� Xinhua General News Service, July 7, 2006.","�Bomb on Brazilian Train Injures 11,� UPI, July 7, 2006.","\"\"\"Program Summary: Rio de Janeiro Rede Globo TV Portuguese 2315 GMT 7 Jul 06 [Rio]",� Rede Globo Television,July 7,"2006.\"",CETIS,-9,-9
197007240001,1970,7,24,"",0,"",30,3,South America,Pernambuco,Recife,-8.048021,-34.876338,1,0,"","",1,1,1,-9,"","",0,0,0,6,Hostage Taking (Kidnapping),"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",State dept,"Donner Lyon, U.S. Consul, Recife",217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,3,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",0,"","","","",1,1,1,"","","",Brazil,1,0,"","","","","","","","","","","",PGIS,-9,-9,1,1,""
200607150002,2006,7,15,"",0,"",30,3,South America,Sao Paulo,Praia Grande,-24.008724,-46.412376,1,0,"","07/15/2006:A retired police officer was shot and killed and three cars were set on fire in Praia Grande, Brazil. The perpetrator to this incident was unknown. No claim of responsibility was reported.",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",3,Police,25,Police Security Forces/Officers,Sao Paulo Police,Retired Lieut. Neuton Santos Ramos,30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",1,0,0,0,0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","","","�Ex-cop Slain, More Vehicles Burned in Another Brazil Night of Violence.� ACAN-EFE.  July 15, 2006.","","",CETIS,-9,-9,0,-9,""
197012070001,1970,12,7,"",1,1/19/1971,30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Swiss Govt,"Giovanni Bucher, swiss ambassador to Brazil",198,Sweden,"","","","","","","","","","","","","","","","",Popular Revolutionary Vanguard (VPR),"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",1,"","",0,"","",0,"","","","",1,1,0,0,42,"",Brazil,1,0,"","","","",2,Hostage(s) released by perpetrators,1,"","","","",PGIS,0,1,1,1,""
