200404050004,2004,4,5,"",0,"",38,1,North America,Quebec (Province),Montreal,45.50867,-73.553992,1,0,"","04/05/2004: At around 2:00 am local time, suspected HAMAS members threw a firebomb into the library of a Jewish elementary school in Montreal, Canada. No one was hurt in the fire, but the library was ruined along with the school's computer lab. Firefights found a note after they extinguished the blaze that was full of anti-Semitic comments. The school had been closed for Passover at the time of the attack. Authorities believe that the fire was in retaliation of the assassination of Sheik Ahmed Yassin, the found of the HAMAS group.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,"","","","",8,Educational Institution,49,School/University/Educational Building,Jewish Elementary School,United Torah Talmud Schools,38,Canada,"","","","","","","","","","","","","","","","",Hamas (Islamic Resistance Movement),"","","","","",Fire was possibly motivated by the assassination of Sheik Ahmed Yassin.,1,"","",0,"",0,0,"","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","",Police stated that the weapon was a fire and accelerant but did not give more spcifics about the weapon.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"",The school library and computer lab were very damaged along with the loss of most of the books contained in the library.,0,"","","","","","","","","","","","","","","","","\"Gary Dimmock and James Mennie, \"\"Letter links firebombing to killing: Montreal attack in response to Hamas assassination","\"\" Canwest News Service",April 6,"2004.\"","\"\"\"Jewish school firebombed in Montreal","\"\" United Press international",April 6,"2004.\"","\"\"\"Anti-Semitic Notes Found in Burned School"
197010050001,1970,10,5,"",1,12/3/1970,38,1,North America,Quebec,Quebec,46.803137,-71.241298,1,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",2,Government (General),21,Government Building/Facility/Office,U.K. government,"James Cross, senior british trade commissinoer, Quebec",216,Great Britain,"","","","","","","","","","","","","","","","",Front de Liberation du Quebec (FLQ),"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",0,"","","","",1,1,0,0,59,"",Canada,0,"","","","","",2,Hostage(s) released by perpetrators,1,"","","","",PGIS,0,1,1,1,""
200411000001,2004,11,0,"November 29-December 4, 2004",0,"",38,1,North America,Quebec,Unknown,"","",5,0,"Near Coaticook town, a few kilometers from the Vermont border","11/29/2004: An explosive device detonated at a transmission tower located near the town of Coaticook, Quebec, Canada.  The tower, owned by Hydro-Quebec, supplies parts of the northwestern United States with electricity; service was not interrupted in the blast.  An anti-globalization group calling itself Initiative de Resistance Internationaliste claimed responsibility for the incident, stating that they were publicizing the pillaging of Canadian resources by the United States.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",21,Utilities,107,Electricity,Hyrdo-Quebec,Hydro-Quebec tower of the Radisson-Nicolet-Des Cantons power line near Coaticook,38,Canada,"","","","","","","","","","","","","","","","",Initiative de Resistance Internationaliste,"","","","","",Initiative de Resistance Internationaliste stated that they were publicizing the pillaging of Canadian resources by the United States.,0,"","",0,-99,0,1,1,Letter,"","","","","","",0,6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,4,Unknown,"",A hyrdro transmission tower was damaged,0,"","","","","","","","","","","","","","","","Due to the isolation of the tower, the date of the explosion is unknown; the damage was noticed by a hunter on December 5, 2004.","\"\"\"UPDATE 1-Quebec group damages tower carrying power to U.S.","\"\" Reuters",December 7,"2004.\"","\"\"\"Quebec boosts hydro security: Tower carrying energy to U.S. damaged","\"\" The Edmonton Journal",December 7,"2004.\"",""
197010100001,1970,10,10,"",1,10/18/1970,38,1,North America,Quebec,Saint-Lambert,46.803137,-71.241298,1,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",2,Government (General),18,"Government Personnel (excluding police, military)",Quebec Province govt,"Pierre La Porte, Quebec minister of labor and immigration",38,Canada,"","","","","","","","","","","","","","","","",Front de Liberation du Quebec (FLQ),"","","","","","",0,"","",0,4,"","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",1,"","",0,"","",0,"","","","",1,1,0,"","","",Canada,0,"","","","","",4,Hostage(s) killed (not during rescue attempt),1,"","","","",PGIS,0,0,0,0,""
200601300006,2006,1,30,"",0,"",38,1,North America,Ontario,Guelph,43.539102,-80.247622,1,0,"","01/30/2006: Perpetrators set fire to a home under construction in Guelph, Canada, causing $5000 in damage to the building but causing no injuries. The Earth Liberation Front claimed responsibility for the attack through an email sent to a Guelph newspaper.",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",14,Private Citizens & Property,76,House/Apartment/Residence,City of Guelph,A private home under construction,38,Canada,"","","","","","","","","","","","","","","","",Earth Liberation Front (ELF),"","","","","",To stop development in Guelph,0,"","",0,"",0,1,4,E-mail,"","","","","","",-9,8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),5000,"",0,"","","","","","","","","","","","","","","","","�Fire May have been Caused by Environmentalist Group,� Barrie Examiner, January 31, 2006.","�U.S. Eco-Terrorist Group Could be Behind Arson,� Brantford Expositor, January 31, 2006.","�Ontario: Eco-Terrorists Say They Started Fire,� The Gazette (Montreal), January 31, 2006.",CETIS,0,1,0,1,""
197204040001,1972,4,4,"",0,"",38,1,North America,Ontario,Ottawa,45.42153,-75.697193,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",Cuban Embassy,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
200606270004,2006,6,27,"",0,"",38,1,North America,Ontario,Guelph,43.539102,-80.247622,1,0,"A house located at 75 Summit Ridge, in east Guelph","6/27/2006:  A suspicious fire burned down a house under construction located at 75 Summit Ridge, Guelph city, Ontario, Canada.  There were no reported injuries in the blaze; however, the damages amounted to approximately $200,000.  The Earth Liberation Front claimed responsibility for the incident, stating anti-development sentiments in their letter.",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",14,Private Citizens & Property,76,House/Apartment/Residence,Civilian property,A house under construction in eastern Guelph,38,Canada,"","","","","","","","","","","","","","","","",Earth Liberation Front (ELF),"","","","","",Earth Liberation Front (ELF) included anti-development slogans in the letter they sent claiming responsibility.,0,"","",0,-99,0,1,1,Letter,"","","","","","",0,8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),200000,A house was set on fire,0,"","","","","","","","","","","","","","","","Although ELF claimed responsibility, officials were reserved in accepting that the attack was perpetrated by ELF.","\"Magda Konieczna, \"\"E-mail lays claim to blaze at house; Police skeptical about statement","\"\" Guelph Mercury",June 29,"2006.\"","\"\"\"Tough to track vandals via U of G; E-mail claiming responsibility for sabotage of machinery could have come from any number of public computers","\"\" Guelph Mercury",July 5,"2006.\"",""
197204040002,1972,4,4,"",0,"",38,1,North America,"",Montreal,45.50867,-73.553992,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),21,Government Building/Facility/Office,"",Cuban Trade Office,51,Cuba,"","","","","","","","","","","","","","","","",Young Cuba,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,1,"","",7,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
200805220002,2008,5,22,"",0,"",38,1,North America,Alberta,Edmonton,53.543564,-113.490452,1,0,"The attack took place in a west-end caf� in Edmonton, Alberta, Canada.","05/22/2008: On Thursday afternoon at 16:00, 20 armed men bearing metal batons, knives, and stones rampaged through a west-end cafe in a bloody attack in Edmonton, Alberta, Canada, that left eight people badly beaten. The caf� also sustained significant damage as well. Caf� patrons claimed that the mob was composed of Turks, however no claim of responsibility was made for the incident. Investigators consider this to be a well-organized hate crime against Kurds by racist people.",1,1,1,0,"","",0,1,0,2,Armed Assault,7,Facility/Infrastructure Attack,"","",1,Business,2,Restaurant/Bar/Caf�,"",Kurdish caf� patrons,209,Turkey,1,Business,2,Restaurant/Bar/Caf�,"",A Caf� that catered to Kurdish patrons was also targeted.,209,Turkey,"","","","","","","","",Unknown,"","","","","",Investigators consider this to be a well-organized hate crime against Kurds by racist people.,0,"","",0,20,0,0,"","","","","","","","","",9,Melee,21,Blunt Object,9,Melee,23,Knife or Other Sharp Object,9,Melee,22,"Hands, Feet, Fists","","","","","Metal batons, knives, and stones, in addition to the use of hands, feet and fists, were used in the melee attack.",0,0,0,8,0,0,1,2,Major (likely >= $1 million but < $1 billion),"","The caf� sustained significant damage from the attack, including windows being smashed and furniture being destroyed.",0,"","","","","","","","","","","","","","","","","\"Renato Gandia, \"\"Bloody Attack at Caf�","\"\" Edmonton Sun",May 23,"2008.\"","\"United Press International, \"\"Three Canadian Kurds Hurt in Cafe Attack","\"\" UPI",May 23,"2008.\"",""
197209190002,1972,9,19,"",0,"",38,1,North America,Quebec,Montreal,45.50867,-73.553992,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Consul General: Pinchas Shaanan,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,"","",1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",Explosive; Letter bomb,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
200808080009,2008,8,8,"",0,"",38,1,North America,Alberta,Calgary,51.038021,-114.060989,1,0,The attack occurred in the 600 block of 8th Avenue S.W.,"08/08/2008: On Friday, at around 0000, in Calgary, Alberta, Canada, an Asian woman was attacked by two suspected skinheads. There were no claims of responsibility.",0,1,1,1,2,Other Crime Type,0,1,0,8,Unarmed Assault,"","","","",14,Private Citizens & Property,71,Race/Ethnicity Identified,"",The target was a civilian asian woman.,38,Canada,"","","","","","","","","","","","","","","","",Unknown,"","","","","",The specific motive for the attack is unknown.,0,"","",0,-99,0,0,"","","","","","","","","",9,Melee,22,"Hands, Feet, Fists","","","","","","","","","","","","","The extremists jump-kicked the woman in the back, and preceded to kick her while she was on the ground.",0,0,0,1,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"Canadian News, \"\"Woman Kicked by Two Men in Random Attack","\"\" Canada.com",August 8th,"2008.\"","","",ISVG,-9,-9
197209190003,1972,9,19,"",0,"",38,1,North America,Ontario,Ottawa,45.42153,-75.697193,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Embassy Official,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,"","",1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",Explosive; Letter bomb,0,0,0,0,0,0,0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197401290001,1974,1,29,"",0,"",38,1,North America,Ontario,Ottawa,45.42153,-75.697193,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",Cuban Embassy,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
198001140001,1980,1,14,"",0,"",38,1,North America,Quebec,Montreal,45.50867,-73.553992,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",Cuban Consulate,51,Cuba,"","","","","","","","","","","","","","","","",Omega-7,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,0,1,1,""
198003280001,1980,3,28,"",0,"",38,1,North America,Quebec,Montreal,45.50867,-73.553992,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),21,Government Building/Facility/Office,"",Billboard with message for Canadian Unity,38,Canada,"","","","","","","","","","","","","","","","",Quebec Separatists,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
198012220001,1980,12,22,"",0,"",38,1,North America,Quebec,Montreal,45.50867,-73.553992,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",Cuban Consulate,51,Cuba,"","","","","","","","","","","","","","","","",Alliance of Revolutionary Cuban Organizations,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,0,1,1,""
