197209210002,1972,9,21,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","09/21/1972: A letter bomb addressed to an official was discovered and defused at the Israeli Embassy in Kinshasa, Zaire. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,"","",1,0,0,1,Assassination,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Embassy Official,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,-99,-99,1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",An explosives-laden letter was used.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","",http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"\"\"\"Death-by-Mail Drive Spreads to Israeli Embassy in Africa","\"\" Los Angeles Times",September 21,"1972.\"","\"\"\"5 more leter bombs in Brussels",Kinshasa,"\"\" The Jerusalem Post",September 22
197209210003,1972,9,21,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","09/21/1972: A letter bomb addressed to an official was discovered and defused at the Israeli Embassy in Kinshasa, Zaire. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,"","",1,0,0,1,Assassination,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Embassy Official,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,-99,-99,1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",An explosives-laden letter was used.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","",http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"\"\"\"Death-by-Mail Drive Spreads to Israeli Embassy in Africa","\"\" Los Angeles Times",September 21,"1972.\"","\"\"\"5 more leter bombs in Brussels",Kinshasa,"\"\" The Jerusalem Post",September 22
197209210004,1972,9,21,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","09/21/1972: A letter bomb addressed to an official was discovered and defused at the Israeli Embassy in Kinshasa, Zaire. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,"","",1,0,0,1,Assassination,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Embassy Official,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,-99,-99,1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",An explosives-laden letter was used.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","",http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"\"\"\"Death-by-Mail Drive Spreads to Israeli Embassy in Africa","\"\" Los Angeles Times",September 21,"1972.\"","\"\"\"5 more leter bombs in Brussels",Kinshasa,"\"\" The Jerusalem Post",September 22
197309170001,1973,9,17,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",UK,"unk, Ambassador",216,Great Britain,"","","","","","","","","","","","","","","","",Irish Republican Army (IRA),"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",Letter bomb,0,"","",2,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,0,1,1,""
197704010001,1977,4,1,"",0,"",604,11,Sub-Saharan Africa,Katanga,Kapanga,-8.35353,22.649662,1,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",1,Business,6,Medical/Pharmaceutical,United Methodist Mission Hospital,Dr. Glenn J. Eschtruth,217,United States,"","","","","","","","","","","","","","","","",Soviet and Cuban-backed rebels/mercenaries,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",1,1,0,0,0,0,0,"","","","",1,1,1,"","","",Democratic Republic of the Congo,0,"","","","","",4,Hostage(s) killed (not during rescue attempt),"","","","","",State Department 1997 Document,-9,-9,1,1,""
198403270001,1984,3,27,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),21,Government Building/Facility/Office,"",post office,604,Zaire,"","","","","","","","","","","","","","","","",Congolese National Movement- Lumumba (MNCL),"",Zairean Socialist Party,"","","","",1,1,"",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","Damages: explsoion, material damage (post office)",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
198403270002,1984,3,27,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",16,Telecommunication,92,Multiple Telecommunication Targets,"",near Zaire TV and radio broadcasting and modulation center,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
198403270012,1984,3,27,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",10,Journalists & Media,54,Radio Journalist/Staff/Facility,"",Zaire office of radio & television (Voix du Zaire),604,Zaire,"","","","","","","","","","","","","","","","",Congolese National Movement- Lumumba (MNCL),"",Zairean Socialist Party,"","","","",1,1,"",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,2,"","","","","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
198808250010,1988,8,25,"",0,"",604,11,Sub-Saharan Africa,Orientale,Bafasende,1.010278,27.161667,1,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",3,Police,22,"Police Building (headquarters, station, school)",Police,Police Post,604,Zaire,"","","","","","","","","","","","","","","","",Congolese Liberation Party (PLC),"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,28,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
199109020007,1991,9,2,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,9,Unknown,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,"",Anti-government demonstartion,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",3,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199109240010,1991,9,24,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",1,Business,5,Industrial/Textiles/Factory,"US Company, name not given",Manufacturing Plant,217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199109240011,1991,9,24,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",1,Business,"","","US Frim, name not given","Residence, US Manager",217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199110160015,1991,10,16,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,-9,"","",0,0,0,7,Facility/Infrastructure Attack,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Newspaper Elima,Premises,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
